sektor,tahun,bulan,jumlah
"Pertanian, Kehutanan dan Perikanan",2011,Februari,42456452
"Pertanian, Kehutanan dan Perikanan",2011,Agustus,39089827
"Pertanian, Kehutanan dan Perikanan",2012,Februari,41665576
"Pertanian, Kehutanan dan Perikanan",2012,Agustus,39592105
"Pertanian, Kehutanan dan Perikanan",2013,Februari,40764720
"Pertanian, Kehutanan dan Perikanan",2013,Agustus,39220261
"Pertanian, Kehutanan dan Perikanan",2014,Februari,40835665
"Pertanian, Kehutanan dan Perikanan",2014,Agustus,38973033
"Pertanian, Kehutanan dan Perikanan",2015,Februari,40122816
"Pertanian, Kehutanan dan Perikanan",2015,Agustus,37750317
"Pertanian, Kehutanan dan Perikanan",2016,Februari,38296298
"Pertanian, Kehutanan dan Perikanan",2016,Agustus,37773525
"Pertanian, Kehutanan dan Perikanan",2017,Februari,39683855
"Pertanian, Kehutanan dan Perikanan",2017,Agustus,35924541
"Pertanian, Kehutanan dan Perikanan",2018,Februari,39770287
"Pertanian, Kehutanan dan Perikanan",2018,Agustus,36577980
"Pertanian, Kehutanan dan Perikanan",2019,Februari,39135917
"Pertanian, Kehutanan dan Perikanan",2019,Agustus,35450291
"Pertanian, Kehutanan dan Perikanan",2020,Februari,38956801
"Pertanian, Kehutanan dan Perikanan",2020,Agustus,38224371
"Pertanian, Kehutanan dan Perikanan",2021,Februari,38777600
"Pertanian, Kehutanan dan Perikanan",2021,Agustus,37130676
"Pertanian, Kehutanan dan Perikanan",2022,Februari,40635997
"Pertanian, Kehutanan dan Perikanan",2022,Agustus,38703996
"Pertanian, Kehutanan dan Perikanan",2023,Februari,40694572
"Pertanian, Kehutanan dan Perikanan",2023,Agustus,39451238
"Pertanian, Kehutanan dan Perikanan",2024,Februari,40720959
"Pertanian, Kehutanan dan Perikanan",2024,Agustus,40757151
Pertambangan dan Penggalian,2011,Februari,1359172
Pertambangan dan Penggalian,2011,Agustus,1433808
Pertambangan dan Penggalian,2012,Februari,1615563
Pertambangan dan Penggalian,2012,Agustus,1600618
Pertambangan dan Penggalian,2013,Februari,1555879
Pertambangan dan Penggalian,2013,Agustus,1424048
Pertambangan dan Penggalian,2014,Februari,1623109
Pertambangan dan Penggalian,2014,Agustus,1434981
Pertambangan dan Penggalian,2015,Februari,1412805
Pertambangan dan Penggalian,2015,Agustus,1317328
Pertambangan dan Penggalian,2016,Februari,1305627
Pertambangan dan Penggalian,2016,Agustus,1469846
Pertambangan dan Penggalian,2017,Februari,1357863
Pertambangan dan Penggalian,2017,Agustus,1386900
Pertambangan dan Penggalian,2018,Februari,1394242
Pertambangan dan Penggalian,2018,Agustus,1466215
Pertambangan dan Penggalian,2019,Februari,1379054
Pertambangan dan Penggalian,2019,Agustus,1428556
Pertambangan dan Penggalian,2020,Februari,1342568
Pertambangan dan Penggalian,2020,Agustus,1352236
Pertambangan dan Penggalian,2021,Februari,1348217
Pertambangan dan Penggalian,2021,Agustus,1443422
Pertambangan dan Penggalian,2022,Februari,1587978
Pertambangan dan Penggalian,2022,Agustus,1530157
Pertambangan dan Penggalian,2023,Februari,1696911
Pertambangan dan Penggalian,2023,Agustus,1662488
Pertambangan dan Penggalian,2024,Februari,1702556
Pertambangan dan Penggalian,2024,Agustus,1733523
Industri Pengolahan,2011,Februari,14202713
Industri Pengolahan,2011,Agustus,14834515
Industri Pengolahan,2012,Februari,14692702
Industri Pengolahan,2012,Agustus,16139729
Industri Pengolahan,2013,Februari,15335471
Industri Pengolahan,2013,Agustus,15548889
Industri Pengolahan,2014,Februari,15745385
Industri Pengolahan,2014,Agustus,15620621
Industri Pengolahan,2015,Februari,16764857
Industri Pengolahan,2015,Agustus,15537848
Industri Pengolahan,2016,Februari,16467505
Industri Pengolahan,2016,Agustus,15874689
Industri Pengolahan,2017,Februari,17084305
Industri Pengolahan,2017,Agustus,17558632
Industri Pengolahan,2018,Februari,18182039
Industri Pengolahan,2018,Agustus,18535303
Industri Pengolahan,2019,Februari,18467747
Industri Pengolahan,2019,Agustus,19197915
Industri Pengolahan,2020,Februari,18709441
Industri Pengolahan,2020,Agustus,17482849
Industri Pengolahan,2021,Februari,17823568
Industri Pengolahan,2021,Agustus,18694463
Industri Pengolahan,2022,Februari,18671926
Industri Pengolahan,2022,Agustus,19172397
Industri Pengolahan,2023,Februari,18829997
Industri Pengolahan,2023,Agustus,19343332
Industri Pengolahan,2024,Februari,18880391
Industri Pengolahan,2024,Agustus,20010758
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2011,Februari,192331
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2011,Agustus,162808
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2012,Februari,252457
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2012,Agustus,198511
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2013,Februari,218057
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2013,Agustus,193501
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2014,Februari,262598
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2014,Agustus,204200
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2015,Februari,223580
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2015,Agustus,201245
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2016,Februari,282542
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2016,Agustus,259638
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2017,Februari,300324
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2017,Agustus,302385
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2018,Februari,349885
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2018,Agustus,344124
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2019,Februari,317938
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2019,Agustus,363635
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2020,Februari,343830
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2020,Agustus,303551
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2021,Februari,274622
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2021,Agustus,284518
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2022,Februari,309484
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2022,Agustus,311124
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2023,Februari,357148
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2023,Agustus,322629
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2024,Februari,360997
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2024,Agustus,355280
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2011,Februari,174278
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2011,Agustus,185351
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2012,Februari,156463
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2012,Agustus,162041
